id,event,environment_publicbenefit_f_slp,start,stop
ND,0,0.4409202624807312,23.0,30.0
ND,0,0.4426425205188191,30.0,31.0
ND,0,0.4620303879332311,31.0,32.0
ND,0,0.4845680025272781,32.0,40.0
ND,0,0.4885670816807825,40.0,41.0
NE,0,0.0,0.0,18.0
NE,0,0.055916925790341,18.0,19.0
NE,0,0.2061089096301184,19.0,20.0
NE,0,0.2061089096301184,20.0,21.0
NE,0,0.3471466443932616,21.0,22.0
NE,0,0.367860665613479,22.0,23.0
NE,0,0.4067645849307981,23.0,30.0
NE,0,0.4411245026811982,30.0,31.0
NE,0,0.4638225223257485,31.0,32.0
NE,0,0.4784248252430654,32.0,40.0
NE,0,0.49735768245438,40.0,41.0
NH,0,0.0,0.0,18.0
NH,0,0.0565073684900698,18.0,19.0
NH,0,0.1473042360060176,19.0,20.0
NH,1,0.1473042360060176,20.0,21.0
NJ,0,0.0,0.0,18.0
NJ,0,0.0437291034566794,18.0,19.0
NJ,1,0.1418642175531969,19.0,20.0
NM,0,0.0,0.0,18.0
NM,0,0.0887640688106844,18.0,19.0
NM,0,0.1718954197562887,19.0,20.0
NM,0,0.1718954197562887,20.0,21.0
NM,0,0.2351160480415539,21.0,22.0
NM,0,0.2668405468882719,22.0,23.0
NM,1,0.2668405468882719,23.0,26.0
NV,0,0.0,0.0,18.0
NV,0,0.0651946557634352,18.0,19.0
NV,0,0.1484097498988185,19.0,20.0
NV,0,0.1484097498988185,20.0,21.0
NV,0,0.3448226316075101,21.0,22.0
NV,0,0.4346342348449926,22.0,23.0
NV,0,0.4392382574726535,23.0,30.0
NV,0,0.4429748922805747,30.0,31.0
NV,0,0.4609924389742302,31.0,32.0
NV,1,0.4609924389742302,32.0,36.0
NY,1,0.0,0.0,17.0
OH,0,0.0,0.0,18.0
OH,0,0.0325742492773395,18.0,19.0
OH,1,0.1321920241792956,19.0,20.0
OK,0,0.0,0.0,18.0
OK,0,0.0497611434968513,18.0,19.0
OK,0,0.1397024062780108,19.0,20.0
OK,0,0.1397024062780108,20.0,21.0
OK,0,0.4079528609556596,21.0,22.0
OK,0,0.4512837556526385,22.0,23.0
OK,0,0.4606069888320468,23.0,30.0
OK,0,0.4643701716654861,30.0,31.0
OK,0,0.4780091042599417,31.0,32.0
OK,0,0.4910788968935536,32.0,40.0
OK,0,0.50176484572048,40.0,41.0
OR,0,0.0,0.0,18.0
OR,0,0.0469510363315678,18.0,19.0
OR,1,0.1151565937538231,19.0,20.0
PA,1,0.0,0.0,18.0
RI,1,0.0,0.0,17.0
SC,0,0.0,0.0,18.0
SC,0,0.0214827523003145,18.0,19.0
SC,0,0.0864045797562526,19.0,20.0
SC,0,0.0864045797562526,20.0,21.0
SC,0,0.323894717007989,21.0,22.0
SC,0,0.402320710646683,22.0,23.0
SC,0,0.4591783982707016,23.0,30.0
SC,0,0.4752952470569244,30.0,31.0
