id,event,w4_environment_state_rps_21_slp,start,stop
MT,0,0.0304391204008308,0.0,18.0
MT,0,0.0420741935272412,18.0,19.0
MT,0,0.0704412416285002,19.0,20.0
MT,0,0.1124645962500557,20.0,21.0
MT,0,0.1192390224154667,21.0,22.0
MT,1,0.1639490625427785,22.0,26.0
NC,0,0.0710374100062571,0.0,18.0
NC,0,0.1180819612929831,18.0,19.0
NC,0,0.1624823475272538,19.0,20.0
NC,0,0.2294927084719582,20.0,21.0
NC,0,0.2475848474714258,21.0,22.0
NC,0,0.3987240791078058,22.0,26.0
NC,0,0.5627789497641518,26.0,27.0
NC,1,0.5742537718250995,27.0,28.0
ND,0,0.0496910612823684,0.0,18.0
ND,0,0.0502787900493857,18.0,19.0
ND,0,0.0755072635294675,19.0,20.0
ND,0,0.1621506814872525,20.0,21.0
ND,0,0.1841987543285321,21.0,22.0
ND,0,0.2825324433221324,22.0,26.0
ND,0,0.4109945336747401,26.0,27.0
ND,0,0.4288778584211568,27.0,28.0
ND,0,0.4405117774658559,28.0,29.0
ND,0,0.5070892377770466,29.0,30.0
ND,0,0.6192712026880445,30.0,31.0
ND,0,0.6957940514808421,31.0,32.0
ND,0,0.7223565502242222,32.0,41.0
NE,0,0.0423569862071743,0.0,18.0
NE,0,0.0457733469924352,18.0,19.0
NE,0,0.0660369824717408,19.0,20.0
NE,0,0.0928753731142701,20.0,21.0
NE,0,0.1409302263926599,21.0,22.0
NE,0,0.201461152125446,22.0,26.0
NE,0,0.3192544840171804,26.0,27.0
NE,0,0.3840899768035635,27.0,28.0
NE,0,0.4110762730036641,28.0,29.0
NE,0,0.5285824303545376,29.0,30.0
NE,0,0.5468692640291176,30.0,31.0
NE,0,0.6169613837186779,31.0,32.0
NE,0,0.6485010110725404,32.0,41.0
NH,0,0.1541954841853297,0.0,18.0
NH,0,0.1667456638291332,18.0,19.0
NH,0,0.1777770373801341,19.0,20.0
NH,0,0.2125593778816242,20.0,21.0
NH,0,0.2276628433312921,21.0,22.0
NH,0,0.2367370086115246,22.0,26.0
NH,0,0.3630715521236319,26.0,27.0
NH,1,0.3852998814515634,27.0,28.0
NJ,1,0.01840596923706,0.0,12.0
NM,0,0.0110720193486185,0.0,18.0
NM,0,0.0137501616953158,18.0,19.0
NM,0,0.0472171291771209,19.0,20.0
NM,0,0.076305284090096,20.0,21.0
NM,0,0.1223242230794115,21.0,22.0
NM,1,0.1223242230794115,22.0,23.0
NV,1,0.0193673558900445,0.0,18.0
NY,0,0.0241858689213141,0.0,18.0
NY,0,0.0320265401346457,18.0,19.0
NY,0,0.0368252551016453,19.0,20.0
NY,0,0.0969092276277402,20.0,21.0
NY,0,0.1199450638932693,21.0,22.0
NY,0,0.1199450638932693,22.0,24.0
NY,1,0.1692785679460255,24.0,25.0
OH,0,0.0254971178146335,0.0,18.0
OH,0,0.0735812819801362,18.0,19.0
OH,0,0.1066241273764265,19.0,20.0
OH,0,0.1237624707535992,20.0,21.0
OH,0,0.2159962431439281,21.0,22.0
OH,0,0.2381298834990365,22.0,26.0
OH,0,0.3807375110603553,26.0,27.0
OH,0,0.4162146141745206,27.0,28.0
OH,1,0.4844282092026302,28.0,29.0
OK,0,0.0634081084690088,0.0,18.0
OK,0,0.0639757512935413,18.0,19.0
OK,0,0.0795338147572741,19.0,20.0
OK,0,0.1259378320981276,20.0,21.0
OK,0,0.1436780509304301,21.0,22.0
OK,0,0.1597097993142069,22.0,26.0
OK,0,0.3013961663326839,26.0,27.0
OK,0,0.3468241524970502,27.0,28.0
OK,0,0.3712696775350981,28.0,29.0
OK,0,0.5320384027781707,29.0,30.0
OK,0,0.6059138884450306,30.0,31.0
