id,event,netmeter_yearadopted_21_slp,start,stop
TN,0,0.4888643843311525,22.0,23.0
TN,0,0.5187919433414119,23.0,24.0
TN,0,0.5197770870998103,24.0,25.0
TN,0,0.5679758079448433,25.0,26.0
TN,0,0.6474162487714717,26.0,27.0
TN,0,0.7262122584502879,27.0,28.0
TN,0,0.7487674868891139,28.0,29.0
TN,0,0.7849330141162691,29.0,30.0
TN,0,0.8776263915021713,30.0,31.0
TN,0,0.9190651141988974,31.0,32.0
TN,0,0.9287080540738588,32.0,33.0
TN,0,0.9295875930155288,33.0,41.0
TX,0,0.0,0.0,12.0
TX,0,0.0473008738911981,12.0,13.0
TX,0,0.0499070637182053,13.0,14.0
TX,0,0.0690582633854963,14.0,15.0
TX,0,0.1083901401571761,15.0,19.0
TX,0,0.1548638489355082,19.0,20.0
TX,0,0.2829666842646885,20.0,21.0
TX,0,0.3543726634382803,21.0,22.0
TX,0,0.3543726634382803,22.0,23.0
TX,0,0.4491462349835089,23.0,24.0
TX,0,0.4497445077046644,24.0,25.0
TX,0,0.4926772774746667,25.0,26.0
TX,0,0.558781154623352,26.0,27.0
TX,0,0.5943533734180542,27.0,28.0
TX,0,0.6788624495091797,28.0,29.0
TX,0,0.7336354008792584,29.0,30.0
TX,0,0.861403707896471,30.0,31.0
TX,0,0.9039184555834906,31.0,32.0
TX,0,0.916291360607492,32.0,33.0
TX,0,0.9411762750589392,33.0,41.0
UT,0,0.0,0.0,12.0
UT,0,0.1127012402809146,12.0,13.0
UT,0,0.1136100339462067,13.0,14.0
UT,0,0.134463652400868,14.0,15.0
UT,0,0.1373110011698369,15.0,19.0
UT,0,0.157750304726233,19.0,20.0
UT,0,0.2300523606657278,20.0,21.0
UT,0,0.3551598829373737,21.0,22.0
UT,1,0.3551598829373737,22.0,23.0
VA,0,0.0,0.0,12.0
VA,0,0.0988435419589909,12.0,13.0
VA,0,0.1248428887342666,13.0,14.0
VA,0,0.1333237041244164,14.0,15.0
VA,0,0.1351655973569875,15.0,19.0
VA,1,0.1645297953073165,19.0,20.0
VT,0,0.0,0.0,12.0
VT,0,0.0218329437339473,12.0,13.0
VT,0,0.0222968891382505,13.0,14.0
VT,0,0.0322320411895012,14.0,15.0
VT,1,0.0582124141729656,15.0,19.0
WA,0,0.0,0.0,12.0
WA,0,0.0232164439690828,12.0,13.0
WA,0,0.0255764656457712,13.0,14.0
WA,0,0.0377799306714627,14.0,15.0
WA,1,0.0430790281114252,15.0,19.0
WI,0,0.0,0.0,12.0
WI,1,0.058270863926771,12.0,13.0
WV,0,0.0,0.0,12.0
WV,0,0.0801336748759707,12.0,13.0
WV,0,0.0936637701561432,13.0,14.0
WV,0,0.1053529122018603,14.0,15.0
WV,0,0.1276874416462552,15.0,19.0
WV,0,0.1714717116850003,19.0,20.0
WV,0,0.2300537429189776,20.0,21.0
WV,0,0.4676053170132581,21.0,22.0
WV,0,0.4676053170132581,22.0,23.0
WV,0,0.5470300742523598,23.0,24.0
WV,0,0.5477664191603093,24.0,25.0
WV,0,0.5567008508957945,25.0,26.0
WV,1,0.606143770919306,26.0,27.0
WY,0,0.0,0.0,12.0
WY,0,0.0944325240258608,12.0,13.0
WY,0,0.1184970272837987,13.0,14.0
WY,0,0.1342675656710135,14.0,15.0
WY,0,0.1616223674721354,15.0,19.0
WY,0,0.1641533175104089,19.0,20.0
WY,0,0.2598124239022308,20.0,21.0
WY,1,0.4538350402010002,21.0,22.0
