id,event,w4_gas_decoupling_21_slp,start,stop
NM,0,0.0827899308684582,21.0,22.0
NM,0,0.1231135763021645,22.0,23.0
NM,0,0.1237457474717177,23.0,27.0
NM,0,0.1673521835078588,27.0,28.0
NM,0,0.1784242028564774,28.0,29.0
NM,0,0.3868034451660461,29.0,30.0
NM,0,0.4773155179124943,30.0,31.0
NM,0,0.4946785245555911,31.0,32.0
NM,0,0.5898884832461669,32.0,33.0
NM,1,0.637027161934751,33.0,34.0
NV,1,0.0,0.0,11.0
NY,0,0.0447044816359964,0.0,20.0
NY,0,0.0988513575639854,20.0,21.0
NY,0,0.1630695461257233,21.0,22.0
NY,0,0.1719640400805106,22.0,23.0
NY,0,0.175020142137919,23.0,27.0
NY,1,0.2444523250275121,27.0,28.0
OH,0,0.0145152905397258,0.0,20.0
OH,0,0.0186963374136524,20.0,21.0
OH,0,0.0380191559542595,21.0,22.0
OH,0,0.0856100371582217,22.0,23.0
OH,0,0.1037416126420252,23.0,27.0
OH,0,0.1584914060468084,27.0,28.0
OH,1,0.1839885238614419,28.0,29.0
OK,0,0.0278070852477335,0.0,20.0
