id,event,climate_action_plan_21_sln,pc01,pc03,pc08,pc09,pc12,pc13,start,stop
AZ,0,0.0,0.5154254301210723,0.23441918222634436,1.5466587219715422,0.7887202377160469,-0.9885848859278481,1.876003805559632,16.0,17.0
AZ,0,0.0,0.2715434297081233,0.5957914730571525,1.4502803735417522,0.5422696393674563,-0.4474539830938428,0.43264032404477976,17.0,18.0
AZ,0,0.0,0.20810898242055684,0.7060946247030794,1.4439109467459004,0.5073597065933291,-0.40303644097285957,0.45852288524322327,18.0,19.0
AZ,0,0.0,0.18914548765287964,0.7332826611986221,1.4292741837832859,0.5106757498519043,-0.2935695475967029,0.6329507252306467,19.0,20.0
AZ,0,0.0,-0.051086362382532696,0.6185184523965513,0.7724257058126349,0.7144973797179562,0.48161436362119553,0.2116787590276279,20.0,21.0
AZ,0,0.0,0.10094609581068265,0.7123678142716354,1.2168551243721737,0.5677525304957833,0.33643753550950145,0.40981566704951267,21.0,22.0
AZ,0,0.0,0.043099615838003424,0.7154940424421665,1.0099110129842594,0.5794838000065928,0.5642902068062395,0.2757760466548297,22.0,23.0
AZ,0,0.0,0.10119411832280213,0.8046891843207341,1.2483503268551577,0.5101354660120082,0.43817836958152623,0.5304774780068024,23.0,24.0
AZ,0,0.0,0.19488197976951815,0.8783721096593485,1.5222105517853615,0.4407578102958554,0.1364028269767185,0.9197387229343389,24.0,25.0
AZ,0,0.0,0.1429655460692046,0.9483646757465063,1.401505872460342,0.46420137304896825,0.192798804592798,0.9139098003410993,25.0,26.0
AZ,1,0.0,-0.022601082131992262,0.861252179493813,0.8704581318278451,0.6568081230290612,0.6572756897581485,0.7516975234289944,26.0,27.0
CA,0,0.0,-0.12401923946222716,-0.8397206775260136,2.9643689580828303,0.06356535376190137,0.25566187871077845,-0.42733507359124157,0.0,1.0
CA,0,0.0,-0.1193556713035681,-0.8501410311610779,3.0007726928919443,0.08716010265570899,0.3156518936542178,-0.4382538262346549,1.0,2.0
CA,0,0.0,-0.14730893773491172,-0.8303623776865031,2.918738499063934,0.051105146051659466,0.1501136163727334,-0.44287368744029554,2.0,3.0
CA,0,0.0,-0.17014209302838307,-0.8083747503740447,2.8511140243178352,0.03716462944941426,0.10199348683807109,-0.14912046685816166,3.0,4.0
CA,0,0.0,-0.20325699257568425,-0.6887980186158196,2.795286139422275,0.013166037885643368,0.2752632308109234,-0.024293788136270113,4.0,5.0
CA,0,0.0,-0.20248576893340597,-0.6508510600053473,2.618224906863858,0.02730541339900016,0.2525888506699273,0.056939236260855175,5.0,6.0
CA,0,0.0,-0.24741636704993553,-0.6120664690494108,2.552630339116385,-0.006484182308059045,0.2694326412588487,0.185999751594999,6.0,7.0
CA,0,0.0,-0.2701246676338126,-0.5402073077960884,2.5353490886395966,-0.013641850275377591,0.413319780860286,0.21788806812385836,7.0,8.0
CA,0,0.0,-0.30124292886792714,-0.46327608028730993,2.5138471871786976,-0.029049460621703653,0.57214370062737,0.21762731964358195,8.0,9.0
CA,0,0.0,-0.3255430534735773,-0.41100108794784324,2.4384533888271527,-0.05001802818927136,0.5124424542227963,0.34710740594880135,9.0,10.0
CA,0,0.0,-0.3324038594937734,-0.37267322276066045,2.4301380645111914,-0.04388311550751396,0.5817392199561097,0.41440396868238616,10.0,11.0
CA,0,0.0,-0.37697826230406883,-0.3330552055696111,2.433554491883455,-0.06530419346568771,0.5104196663391425,0.32736018094291913,11.0,12.0
CA,0,0.0,-0.37426733994614364,-0.338062118160583,2.434982738015615,-0.05503607863274439,0.47670549008739227,0.3929201159557326,12.0,13.0
CA,0,0.0,-0.3626499225658452,-0.335036011642056,2.4073937390096916,-0.05157528932672116,0.3770514097707865,0.5249582908112237,13.0,14.0
CA,0,0.0,-0.35004109984597215,-0.30969989985311686,2.458696392969788,-0.02273613666689579,0.41333307076426823,0.6450728634120956,14.0,15.0
CA,0,0.0,-0.4010760215572231,-0.2288245744636841,2.5019641636453236,-0.0732056057433003,0.44859479541444625,0.7525700255096026,15.0,16.0
CA,0,0.0,-0.42918932861150805,-0.14089139191907737,2.518067107440311,-0.08484968156904617,0.3977492636378184,0.7537753443079624,16.0,17.0
CA,0,0.0,-0.628951387486555,0.17682301996204466,2.4421359840218684,-0.2806489686703053,0.9574612178839527,-0.4510259638258469,17.0,18.0
CA,0,0.0,-0.7226585796814482,0.3037780714564674,2.3543021586307162,-0.3460329316532936,0.9066608342611808,-0.357693260413395,18.0,19.0
CA,0,0.0,-0.7633429109103904,0.37239286818213796,2.322610478942049,-0.36164785049294906,0.9721575353649727,-0.25827536784471794,19.0,20.0
CA,0,0.0,-0.9108946629576813,0.3901949307761262,1.9485572387286527,-0.26321649497674177,1.3423538449324888,-0.3752073938591778,20.0,21.0
CA,0,0.0,-0.7939134406986618,0.4889712008523699,2.408674458539922,-0.4133396346638869,1.0605904963814705,-0.22086842899041764,21.0,22.0
CA,0,0.0,-0.8075545952345226,0.4325678585742711,2.2519279613159418,-0.3561854739666849,1.241036709068163,-0.11684527148067053,22.0,23.0
CA,0,0.0,-0.7885685851596352,0.5149967640030981,2.3311788796940895,-0.41319005527687563,1.1307432725425877,0.015755816244527633,23.0,24.0
CA,0,0.0,-0.6992373498963711,0.6145207562382369,2.6325755774953277,-0.5039955270514423,0.8995320468431371,0.3682918851790132,24.0,25.0
CA,0,0.0,-0.6952826324260557,0.6848344896164179,2.4383276351114316,-0.5081325857167805,0.858548458139823,0.3427453008883495,25.0,26.0
CA,0,0.3333333333333333,-0.8923514605737944,0.5620403006863582,1.7120034519398344,-0.28109051478553526,1.5558074093750276,0.15394341552248542,26.0,27.0
CA,0,0.3333333333333333,-0.7940238229281645,0.6750910986391593,2.0200041052088116,-0.3776281868538228,1.4183825331962232,0.33672483259771907,27.0,28.0
CA,1,0.6666666666666666,-0.8946541086032744,0.6643308091717114,1.7461115742532287,-0.2960045400423609,1.6211538543412967,0.09135882715996431,28.0,29.0
CO,0,0.0,0.8313623254917228,-0.443868230843658,1.5961900581720654,0.5839032413137648,-0.8206397884911512,0.7055578284562051,0.0,1.0
CO,0,0.0,0.8425548661839253,-0.4566393708195343,1.6513186290196225,0.6094139443950012,-0.7255371324258555,0.6895939031394572,1.0,2.0
CO,0,0.0,0.8371084398592386,-0.4542744441369887,1.646404230137691,0.605224831862934,-0.7447397025281394,0.6771008163012759,2.0,3.0
CO,0,0.0,0.8225330115151253,-0.4848252405011601,1.5965445924131232,0.6005034901105476,-0.8254410706014279,1.1055218824507136,3.0,4.0
CO,0,0.0,0.7753772392613549,-0.369940578789438,1.5437064938906535,0.5564573070936143,-0.6216703577810404,1.1378257834203909,4.0,5.0
CO,0,0.0,0.7818982269268632,-0.3322125331436072,1.3830339249230335,0.5653909011032444,-0.6359096698164194,1.1428166618128859,5.0,6.0
CO,0,0.0,0.7490168821692772,-0.34865265823365443,1.3709878666212423,0.5454069860391206,-0.5716401333872809,1.2708680419294027,6.0,7.0
CO,0,0.0,0.7585359044372653,-0.32865031320037097,1.3687397471970628,0.5595706221377776,-0.5334426181206534,1.4311371884984085,7.0,8.0
CO,0,0.0,0.7523896640659938,-0.29033749206642007,1.3212227042664555,0.5521929977531961,-0.5350267652214049,1.6623161211057589,8.0,9.0
CO,0,0.0,0.7391260565243436,-0.23852162079577352,1.296657144223282,0.5391036376292047,-0.4619965362895357,1.711032144992684,9.0,10.0
CO,0,0.0,0.7466062233851959,-0.20658144430086564,1.3096030594697448,0.5557485164801805,-0.34748556496278604,1.8490160033807614,10.0,11.0
CO,0,0.0,0.6842196125124905,-0.16015883796779268,1.2498393100624134,0.5089264871979281,-0.4953961507723479,1.953035042128658,11.0,12.0
CO,0,0.0,0.6097163211988329,-0.05738536578408405,1.2385815630386932,0.46391256407614717,-0.4410670577634078,1.907532373808426,12.0,13.0
CO,0,0.0,0.5730441009313934,0.01341001556106763,1.2108112385357095,0.4455336972124401,-0.5832737584555295,2.0967617185506184,13.0,14.0
CO,0,0.0,0.6057489162232487,-0.010329869263309449,1.1415451121440308,0.4642811010752749,-0.3400804373339612,2.387964445656024,14.0,15.0
CO,0,0.0,0.592310917641413,0.0023674337405504248,1.1431936222055907,0.46441965831871324,-0.4665929398294622,2.7709501880953975,15.0,16.0
CO,0,0.0,0.5671158207826962,0.04753521296186195,1.125088088590573,0.45842415960400174,-0.5762193868198692,2.9704791711556195,16.0,17.0
CO,0,0.0,0.10400465320565959,0.8040712437232912,1.0259864850683464,-0.01613960114860854,0.5595098879824016,-0.189074218917051,17.0,18.0
CO,0,0.0,0.0349074844435452,0.9409746128368501,0.9711785016725261,-0.06694911546255197,0.5134207095905915,-0.05269368998821613,18.0,19.0
CO,0,0.0,-0.010708362404192331,1.0201167443523353,0.9691703129537929,-0.0869380737038033,0.5675745198102272,-0.003266194503457924,19.0,20.0
CO,0,0.0,-0.17013793101648783,1.0522907539248547,0.551042980107686,-0.008886483665041158,0.9113054364859804,-0.1952178046238727,20.0,21.0
CO,0,0.0,-0.0399037876725532,1.1831004832839864,0.9996040657788718,-0.17026620470424733,0.4740971789767389,0.01497276492573486,21.0,22.0
CO,0,0.0,-0.05309780093559152,1.1635144287138635,0.9368606477775604,-0.14127312259166003,0.6610687946154385,-0.07700351790341523,22.0,23.0
CO,0,0.0,0.004500786964245525,1.198609166646128,0.9945935558635497,-0.1523568644316838,0.5221594716927621,0.07740491235432187,23.0,24.0
CO,0,0.0,0.0022533232149618138,0.5870663196214034,0.9421816570853541,-1.826124465696366,0.6083123046510589,0.8121467635644074,24.0,25.0
CO,0,0.0,0.025847804463969504,0.6946037675637741,0.8052397579172552,-1.790249187005057,0.45707289876912066,0.7533672425665788,25.0,26.0
CO,0,0.0,-0.15185413667982228,0.6990784143311046,0.33983167701281763,-1.6628769985415166,0.8811717739244146,0.26321671275653324,26.0,27.0
CO,1,0.0,-0.0729388773740136,0.8076141410122267,0.5682979225479776,-1.7613445871081312,0.6032783214708569,0.564235068553034,27.0,28.0
CT,0,0.0,-1.2101989196098553,-1.6928457807506088,0.5664865035539369,0.4530608589994861,-1.4470368171862733,-0.422324412775979,0.0,1.0
CT,0,0.0,-1.2350400095297243,-1.6761825237283972,0.4905583131902957,0.4240643413696507,-1.595899131589761,-0.4193279598163267,1.0,2.0
CT,0,0.0,-1.2422954151013406,-1.6723727929674166,0.47061994906319465,0.41835592278331424,-1.6356995452993326,-0.4185456993172755,2.0,3.0
CT,0,0.0,-1.2489220075685354,-1.6044498411171084,0.44247920570202687,0.4312264895474461,-1.5127015252672664,-0.15210903064253517,3.0,4.0
